gene;log2FC;pvalue;ATAC score (pi-value)
A1BG;-0.048890041;0.73856225;-0.00643455979033135
A1BG-AS1;-0.061390223;0.991300212;-0.000232963676144431
A2M;-0.208298878;0.254428907;-0.123819841042064
A2M-AS1;-0.085421464;0.065644881;-0.101036433697036
A2ML1;-0.377231111;0.038010041;-0.535706527666399
A4GALT;0.302016027;0.009104766;0.616333532657697
A4GNT;-0.349211155;0.084797883;-0.374219908330078
AA06;-0.589037832;0.004918802;-1.35958216975808
AAAS;-0.379809027;0.001234918;-1.10462209546814
AACS;-0.196388165;0.035855006;-0.283869312472551
AACSP1;-0.010969177;0.663932036;-0.00195115744480542
AAED1;-0.589075715;0.011233676;-1.14839020924869
AAGAB;-0.57112826;0.007633497;-1.20923642096754
AAK1;-0.522692215;0.020040151;-0.887583133055428
AAMDC;-0.344121648;0.01436996;-0.634059429467412
AAMP;0.023603975;0.904904398;0.00102434880861506
AANAT;0.379007424;0.008259835;0.789483314469709
AAR2;0.227717736;0.006462762;0.498606618769339
AARD;0.202242499;0.283002109;0.110871426711598
AARS;0.268580063;0.014903658;0.490617114425194
AARS2;-0.266253659;0.046291864;-0.355314264917713
AARSD1;-0.204181096;0.17849861;-0.152802018876337
AASDH;0.415171102;0.053017576;0.529584009254123
AASDHPPT;0.290993714;0.054008805;0.368844842932391
AASS;-0.186877141;0.066556185;-0.219919183521277
AATBC;-0.286565872;0.063036086;-0.343996756381504
AATF;0.462191866;0.039366601;0.649320448860023
AATK;0.351928019;0.324597706;0.171971229076229
AATK-AS1;0.351928019;0.324597706;0.171971229076229
ABAT;0.375751927;0.086595428;0.399238315073424
ABCA1;0.290760629;0.040791104;0.403992860939421
ABCA10;0.444747497;0.002087748;1.1920664667128
ABCA11P;0.169216318;0.036914075;0.242454495809099
ABCA12;0.174742561;0.42703332;0.0645740579362505
ABCA13;-0.439193634;0.038272857;-0.622385302985163
ABCA17P;-0.84430516;0.007610765;-1.78872100775482
ABCA2;-0.345407663;0.004846357;-0.799475256581079
ABCA3;-0.84430516;0.007610765;-1.78872100775482
ABCA4;-0.003648381;0.70559268;-0.000552532465708719
ABCA5;0.444747497;0.002087748;1.1920664667128
ABCA6;0.367926487;0.003090326;0.923493901839267
ABCA7;-0.416024891;0.008058822;-0.87104314463789
ABCA8;0.26946817;0.054362764;0.340795982386076
ABCA9;-0.422354889;0.075108832;-0.474857399340426
ABCB1;0.402170216;0.007872803;0.846114099955914
ABCB10;-0.214107328;0.085527284;-0.228644213374401
ABCB11;0.221148278;0.186014285;0.161538578528443
ABCB4;0.692163148;0.007413516;1.47429073468098
ABCB5;-0.439485679;0.066112728;-0.518467813626408
ABCB6;-0.268857736;0.198239079;-0.188956101342529
ABCB7;0.328152912;0.023932292;0.531941024627634
ABCB8;-0.28342835;0.020285186;-0.479793464515117
ABCB9;0.317667935;0.018517255;0.550335361719445
ABCC1;0.373527175;0.004434826;0.878955541632424
ABCC10;0.420305607;0.019255214;0.721013947167227
ABCC13;0.555383;0.001816092;1.52222824604675
ABCC2;0.529115671;0.023947936;0.857554652685185
ABCC3;-0.370003323;0.16072187;-0.293754896801032
ABCC4;0.402726574;0.0192839;0.690597594797543
ABCC5;-0.343406465;0.053462187;-0.436796979306891
ABCC5-AS1;-0.312578903;0.243607951;-0.191707310972572
ABCC6;0.12466344;0.539230333;0.0334379366731004
ABCC8;0.161341292;0.657843444;0.0293443426212286
ABCC9;0.135237335;0.554705543;0.034612304659736
ABCD1;0.20829167;0.114215237;0.196268232211059
ABCD2;-0.36625124;0.006562343;-0.799504875085431
ABCD3;0.215618572;0.093533441;0.221878644998847
ABCD4;0.581091901;0.009046646;1.18746850727941
ABCE1;-0.248894572;0.079689009;-0.273435968549085
ABCF1;0.229019996;0.017164796;0.40430305016439
ABCF2;-0.28342835;0.020285186;-0.479793464515117
ABCF3;0.329590448;0.116854672;0.307294945947735
ABCG1;-0.4415152;0.034977967;-0.642936834457611
ABCG2;0.298414608;0.132553073;0.261891703658436
ABCG4;-0.50048253;0.031152304;-0.753981850055827
ABHD1;0.277636906;0.071968573;0.317299311593267
ABHD10;0.290678085;0.02180137;0.482966351408298
ABHD11;0.506661078;0.011890034;0.975229807278973
ABHD11-AS1;-0.696252952;0.026475631;-1.0980979057735
ABHD12;0.306227518;0.008925055;0.627579337172243
ABHD12B;0.227499368;0.329524345;0.109680287814847
ABHD13;0.398279932;0.100632929;0.397188599839737
ABHD14A;-0.606402035;0.022429936;-1.00006123600513
ABHD14A-ACY1;-0.168368988;0.017484621;-0.29588219331897
ABHD14B;-0.606402035;0.022429936;-1.00006123600513
ABHD15;0.398626619;0.024102376;0.644954008862781
ABHD16A;-0.345786926;0.029613667;-0.528538017498897
ABHD16B;-0.530768502;0.071360245;-0.608549264915308
ABHD17A;-0.394628842;0.003238452;-0.982492643406528
ABHD17B;-0.30030279;0.013404923;-0.562387748534496
ABHD17C;-0.26938413;0.049538749;-0.351561096303577
ABHD18;0.147558936;0.184590492;0.108277370901467
ABHD2;-0.695997721;0.044401395;-0.941408873402372
ABHD3;-0.384560181;0.006615366;-0.838128195598105
ABHD4;-0.331854011;0.003228704;-0.826638972583522
ABHD5;0.502567974;0.018586662;0.869843945135954
ABHD6;0.536446551;0.021555948;0.893952167051791
ABHD8;0.194849625;0.003771849;0.472207486218858
ABI1;0.399410661;0.042057177;0.549652928023315
ABI2;0.187739392;0.72413153;0.0263177852300809
ABI3;-0.344902538;0.008530128;-0.713618682701494
ABI3BP;-0.054642557;0.623587579;-0.0112073274481408
ABL1;-0.231506242;0.028969891;-0.356068902168672
ABL2;-0.167012634;0.020142666;-0.283233894895263
ABLIM1;0.419019648;0.019310639;0.71828488638404
ABLIM2;-0.375777369;0.026404224;-0.593099414003454
ABLIM3;0.40219859;0.008634182;0.830048923868671
ABO;-0.455753171;0.022983376;-0.746790846569597
ABR;-0.557592665;0.031673837;-0.835998304908561
ABRA;-0.099705803;0.096779273;-0.101123384672491
ABRACL;0.210984476;0.053457589;0.268370277038758
ABRAXAS1;0.187658984;0.068732867;0.218216536057251
ABRAXAS2;0.090921634;0.175149234;0.0687905588802364
ABT1;-0.201502577;0.017191877;-0.355586903565584
ABTB1;0.39518767;0.021551407;0.658589883304932
ABTB2;0.578732194;0.019207316;0.993413093503172
ACAA1;-0.750909369;0.000592439;-2.42345212767117
ACAA2;0.216331064;0.0012555;0.627616066459816
ACACA;-0.289586369;0.038992619;-0.408032288836073
ACACB;-0.128398517;0.890722294;-0.00645301126364143
ACAD10;-0.481920423;0.073964585;-0.545040516727801
ACAD11;0.281301876;0.067129308;0.32999180720757
ACAD8;0.110909196;0.569883186;0.0270855957368569
ACAD9;-0.788258038;0.010645197;-1.55511195142623
ACADM;0.421124288;0.005373582;0.955841007260628
ACADS;-0.268129693;0.063367599;-0.321254965892452
ACADSB;-0.365491097;0.025559747;-0.582023903196097
ACADVL;0.363242575;0.041196461;0.503141853253224
ACAN;0.450553731;0.069007221;0.523140397889071
ACAP1;-0.509969441;0.093976463;-0.523728877827981
ACAP2;-0.493715931;0.044334778;-0.668123780233398
ACAP3;-0.524385735;0.006434242;-1.14919270624941
ACAT1;0.211601877;0.068958543;0.24575694290591
ACAT2;0.354152404;0.074673737;0.399070302125267
ACBD3;0.052992642;0.612996693;0.0112631551427147
ACBD3-AS1;0.118541236;0.960520103;0.00207370599986249
ACBD4;-0.538530843;0.006139296;-1.19116636952096
ACBD5;0.329213225;0.182588113;0.24313301991899
ACBD6;-0.645463362;0.00647866;-1.41260612784066
ACBD7;0.271710284;0.191413756;0.195095280623828
ACBD7-DCLRE1CP1;-0.029685511;0.991823745;-0.000105843647516629
ACCS;0.377687609;0.083128552;0.407996958163689
ACD;0.444747497;0.002087748;1.1920664667128
ACE;0.589482074;0.019167346;1.01239892446092
ACER2;-0.477768277;0.022289533;-0.789224953609496
ACER3;-0.891268833;1.73E-05;-4.2441810924642
ACHE;0.083251156;0.024837128;0.133609665753476
ACIN1;-0.481304656;0.004665874;-1.12195339733621
ACKR1;-0.211302047;0.466700422;-0.0699329071746824
ACKR3;0.422706756;0.047376793;0.559847343652791
ACKR4;-0.522786925;0.08967675;-0.547525275227516
ACLY;-0.526606097;0.012624943;-0.999904161066699
ACMSD;0.068465819;0.421350398;0.0256990964551776
ACN9;0.143204429;0.102995184;0.14136898960476
ACO1;0.191743636;0.017004498;0.339278127707145
ACO2;0.690854332;0.004457767;1.62411745248676
ACOT1;-0.369265576;0.015983717;-0.663319958680892
ACOT11;-0.52497676;0.031174413;-0.790720896425503
ACOT12;0.356794928;0.00537767;0.809712497466439
ACOT13;-0.378424523;0.015325889;-0.686679423087011
ACOT2;-0.369265576;0.015983717;-0.663319958680892
ACOT4;-0.369265576;0.015983717;-0.663319958680892
ACOT6;0.17789061;0.092703799;0.183743650122743
ACOT7;0.258705384;0.040277905;0.360876710213528
ACOT8;-0.214588428;0.020096885;-0.364128934621698
ACOT9;0.203466169;0.039787733;0.284903666953244
ACOX1;-0.496425167;0.011058812;-0.971152346944167
ACOX2;0.179764771;0.181657673;0.133160080600978
ACOX3;0.587542236;0.020716392;0.989236566517771
ACOXL;-0.360694489;0.180562793;-0.268130088482304
ACP1;0.577622826;0.012555165;1.09816356383888
ACP2;0.507559404;0.004095011;1.21192239220549
ACP5;0.244010129;0.0683357;0.284357777865378
ACP6;0.17397131;0.168572737;0.134516819679555
ACP7;0.303963041;0.103366279;0.299592392077614
ACPP;-0.526414456;0.02265139;-0.865901845708822
ACRBP;-0.309586631;0.158479865;-0.247677325390927
ACRV1;-0.155974246;0.052221523;-0.199982452265963
ACSBG1;-0.151828664;0.488712502;-0.047210599402264
ACSBG2;0.292977297;0.040076796;0.409320634261504
ACSF2;0.830072896;0.000144613;3.18730781692909
ACSF3;0.435127526;0.032792256;0.645828764103876
ACSL1;0.167619544;0.020090762;0.284450968101616
ACSL3;-0.464698502;0.002414322;-1.21621115379005
ACSL4;0.204626961;0.100261137;0.204395195312166
ACSL5;-0.449715187;0.01916429;-0.772389101251296
ACSL6;0.696878329;0.01630344;1.24582384931303
ACSM1;0.288048682;0.024124968;0.465928321918417
ACSM3;0.195972858;0.030448006;0.297181304875814
ACSM4;-0.083385226;0.078950834;-0.0919441589289027
ACSM5;-0.222227574;0.315142263;-0.111445650701369
ACSM6;0.072393072;0.265695475;0.0416705990869049
ACSS1;0.306227518;0.008925055;0.627579337172243
ACSS2;-0.534302193;0.000541503;-1.74524421996543
ACTA2;-0.748697421;0.00585563;-1.67141186794085
ACTA2-AS1;0.550667871;0.00386683;1.32856604195106
ACTB;-0.47854964;0.001783502;-1.31540202884934
ACTBL2;0.203847592;0.24358134;0.125031140519593
ACTC1;0.109819954;0.389875311;0.0449245170529475
ACTG1;0.596075729;0.001972896;1.61232274045043
ACTG2;0.196409411;0.159136491;0.156779927838295
ACTL10;-0.39713681;0.002033809;-1.06896911464489
ACTL6A;-0.165279804;0.421427429;-0.0620257422837688
ACTL6B;0.450099564;0.02282205;0.738903855145939
ACTL7B;0.194344443;0.093188634;0.200298584252981
ACTL8;-0.385065497;0.213445343;-0.258268556483422
ACTL9;-0.374596117;0.018901618;-0.645616789038497
ACTN1;0.571105574;0.026885236;0.896913392390414
ACTN1-AS1;0.571105574;0.026885236;0.896913392390414
ACTN2;-0.253231272;0.11226203;-0.240510733073005
ACTN3;-1.076183069;0.007116309;-2.31136702346762
ACTN4;0.575771765;0.006056536;1.27693262743113
ACTR10;0.387899546;0.038167375;0.550160916047924
ACTR1A;0.541368316;0.03966996;0.758748395408867
ACTR1B;0.170920482;0.072142287;0.195158731640404
ACTR2;0.296182397;0.001775418;0.814708736196805
ACTR3;0.276001246;0.006649766;0.600908156569587
ACTR3B;-0.349419789;0.00831407;-0.726858266164097
ACTR3BP2;-0.1446055;0.68934176;-0.0233632470914315
ACTR3BP5;-0.526606097;0.012624943;-0.999904161066699
ACTR3C;-0.28342835;0.020285186;-0.479793464515117
ACTR5;0.441903501;0.009654829;0.890548422747777
ACTR6;0.446593303;0.084335369;0.479636853370657
ACTR8;0.608060999;0.000161598;2.30550220487762
ACTRT1;-0.310170127;0.085422447;-0.331394445965682
ACTRT2;-0.302088459;0.17580328;-0.228068638149907
ACTRT3;0.359060811;0.006118248;0.794735476811444
ACVR1;-0.433807641;0.021493043;-0.723461910612217
ACVR1B;-0.322824291;0.008828928;-0.663110801568476
ACVR1C;-0.196692866;0.303453026;-0.101868912583175
ACVR2A;0.383202294;0.039783395;0.53659746650379
ACVR2B;-0.57764266;0.006061648;-1.28087019869193
ACVR2B-AS1;-0.57764266;0.006061648;-1.28087019869193
ACVRL1;-0.322824291;0.008828928;-0.663110801568476
ACY1;-0.606402035;0.022429936;-1.00006123600513
ACY3;-0.560570701;0.014048603;-1.03838258925801
ACYP1;0.266535354;0.018081645;0.464507703022615
ACYP2;-0.451469595;0.002052775;-1.21339616223698
ADA;0.386657742;0.020560292;0.652280290082299
ADA2;-0.486270213;0.080499682;-0.532079704564885
ADAD1;-0.047976884;0.638010961;-0.0093637376899142
ADAL;-0.672425123;0.002838904;-1.71256544928972
ADAM10;0.365130441;0.005188434;0.834309804684771
ADAM11;8.61E-05;0.587040918;1.99176530372311E-05
ADAM12;-0.507371339;0.040825487;-0.704773608705296
ADAM15;0.369721882;0.014881472;0.675612800056621
ADAM17;0.774728193;0.007647861;1.63968124217943
ADAM19;0.363637585;0.029354368;0.557211786275208
ADAM2;-0.054258477;0.933186799;-0.00162945875484274
ADAM21P1;-0.006851213;0.982257988;-5.32642806529629E-05
ADAM22;0.529592074;0.016544654;0.94338476890859
ADAM23;0.310711567;0.03765975;0.442491354493517
ADAM28;0.447779693;0.087195698;0.474424797416466
ADAM29;0.154341444;0.832711292;0.012271000782098
ADAM32;0.364222929;0.098635968;0.366395405482986
ADAM3A;0.606850025;0.067182946;0.711677878518064
ADAM3B;-0.323299469;0.284736185;-0.176378397715596
ADAM5;-0.339921958;0.293779601;-0.180831126882664
ADAM6;0.291888248;0.053095588;0.372140459797827
ADAM7;-0.069673591;0.99462243;-0.000163158208420095
ADAM8;0.237136183;0.040640841;0.329865278950937
ADAM9;0.541387614;0.038901218;0.763376459166496
ADAMDEC1;-0.303301653;0.000381633;-1.03679244260264
ADAMTS1;0.431996095;0.129514475;0.383475023928678
ADAMTS10;-1.274108227;0.009797094;-2.55955948918272
ADAMTS12;-0.417930484;0.013819303;-0.777147527844129
ADAMTS13;0.144623727;0.202813372;0.100210274221021
ADAMTS14;-0.525236906;0.009591594;-1.05998543882467
ADAMTS15;-0.500622873;0.113262303;-0.47354649065503
ADAMTS16;-0.133420506;0.565310702;-0.0330499661519137
ADAMTS17;-0.337919604;0.032773525;-0.501633827604745
ADAMTS19;-0.42222766;0.030688894;-0.638838371781309
ADAMTS19-AS1;-0.42222766;0.030688894;-0.638838371781309
ADAMTS2;-0.453129045;0.278435379;-0.251611494427037
ADAMTS20;-0.206017475;0.215458731;-0.137338645351146
ADAMTS3;0.134677058;0.039670437;0.188754343206077
ADAMTS4;0.334776088;0.053731048;0.425090202900819
ADAMTS5;-0.313099909;0.133739319;-0.273568193948863
ADAMTS6;0.455275535;0.0408185;0.632442803758736
ADAMTS7;0.342392755;0.033040679;0.507066905346982
ADAMTS7P1;0.564277693;0.027699496;0.878878381656049
ADAMTS8;-0.095544976;0.492288387;-0.0294068717949942
ADAMTS9;0.383340842;0.006303017;0.843522939042726
ADAMTS9-AS2;0.383340842;0.006303017;0.843522939042726
ADAMTSL1;0.393081358;0.087541465;0.415796031950705
ADAMTSL2;-0.220814109;0.078712973;-0.243768549094416
ADAMTSL3;0.080699427;0.381536571;0.033769791121156
ADAMTSL4;0.214414129;0.059387815;0.262936615237092
ADAMTSL4-AS1;0.579720621;0.084458623;0.622246608915721
ADAMTSL5;-0.269624268;0.016143248;-0.483169136808625
ADAP1;-0.577981399;0.002525003;-1.50144430217073
ADAP2;-0.817255918;0.031195295;-1.23071459752683
ADAR;-0.740918786;0.002455802;-1.9336547757629
ADARB1;-0.288024514;0.027709945;-0.448559106062136
ADARB2;0.515072496;0.07437997;0.581281975514506
ADARB2-AS1;-0.482275257;0.068390009;-0.561854213878383
ADAT1;0.266535354;0.018081645;0.464507703022615
ADAT2;0.089507271;0.016890536;0.15863879967811
ADAT3;-0.394628842;0.003238452;-0.982492643406528
ADCK1;0.267421994;0.099040181;0.268542110980167
ADCK2;0.226509105;0.112083285;0.215287651176479
ADCK3;0.550829584;0.063900847;0.657962294498482
ADCK4;0.690854332;0.004457767;1.62411745248676
ADCK5;0.288013898;0.089147826;0.30238269342103
ADCY1;-0.391106848;0.031207486;-0.588905700754327
ADCY10;0.326884234;0.216519844;0.217215323523948
ADCY2;-0.357970934;0.023639292;-0.582191589508677
ADCY3;0.283263191;0.025058387;0.453517650388162
ADCY4;-0.374519494;0.013415113;-0.701252422131806
ADCY5;0.23806368;0.067937358;0.278032511743657
ADCY6;0.354006267;0.163584231;0.278340458874648
ADCY7;-0.634836844;0.017317411;-1.11827591557749
ADCY8;-0.123867805;0.489186189;-0.0384641508183144
ADCY9;0.567448644;0.005653218;1.2754567383691
ADCYAP1;-0.577981399;0.002525003;-1.50144430217073
ADCYAP1R1;-0.011030215;0.880143217;-0.000611588510837324
ADD1;-0.496329739;0.002404956;-1.29983441209246
ADD2;0.450572894;0.003913037;1.08474795482047
ADD3;-0.251033765;0.040200992;-0.350383698707894
ADD3-AS1;0.34597302;0.026899381;0.54326680339715
ADGB;-0.054929307;0.99936277;-1.52062824953949E-05
ADGRA1;-0.103033218;0.292214215;-0.0550505104444413
ADGRA1-AS1;-0.020934925;0.821078618;-0.00179234899126556
ADGRA2;-0.001504185;0.885248512;-7.9623723967048E-05
ADGRA3;0.170292391;0.067381283;0.199490847638948
ADGRB1;-0.256962168;0.059376719;-0.315134241085719
ADGRB2;0.104219226;0.367194138;0.0453462292717391
ADGRB3;-0.446354762;0.136238726;-0.386409061351792
ADGRD1-AS1;-0.359262533;0.096219358;-0.365275705865677
ADGRE1;0.216989747;0.309686102;0.110464768122866
ADGRE2;-0.599413138;0.037385328;-0.855541655400855
ADGRE3;-0.595803269;0.191081979;-0.428251634236607
ADGRE5;0.45381336;0.012778129;0.859310451295502
ADGRF2;-0.209362187;0.404567006;-0.0822813364946025
ADGRF3;-0.201502577;0.017191877;-0.355586903565584
ADGRF4;-0.558035259;0.072047352;-0.637489422102425
ADGRG1;0.446506446;0.002219484;1.18491557975697
ADGRG2;-0.405417017;0.676943571;-0.0686969129380213
ADGRG3;-0.068721529;0.56545827;-0.0170154120866315
ADGRG5;-0.378565854;0.05528478;-0.476006590263341
ADGRG6;-0.130952014;0.051265425;-0.168951072005332
ADGRG7;0.178627672;0.354416763;0.0804692199501312
ADGRL1;0.35836082;0.423682478;0.133654070993369
ADGRL2;-0.188475655;0.056032692;-0.235888310330526
ADGRL3;-0.304171905;0.001489181;-0.859909948550313
ADGRL3-AS1;-0.011105486;0.437853343;-0.0039832194351987
ADGRL4;-0.274525714;0.07739433;-0.305077915452023
ADGRV1;-0.23160993;0.185439635;-0.169491552972349
ADH1B;-0.472119345;0.256194601;-0.279225556838053
ADH1C;-0.239626378;0.11352768;-0.22642254213475
ADH5;0.348497665;0.055943041;0.436407570441999
ADH6;0.244224312;0.281165287;0.134576949423442
ADH7;-0.155073475;0.856382781;-0.0104414186170059
ADHFE1;0.350985437;0.006303122;0.772323899600707
ADI1;0.424631119;0.000715708;1.335577026362
ADIPOQ;-0.23677326;0.4151978;-0.0903869978013442
ADIPOQ-AS1;-0.296266934;0.164814207;-0.231978595772327
ADIPOR1;0.248982533;0.021003182;0.417721706523672
ADIPOR2;-0.685418758;0.005855931;-1.53013161074254
ADIRF;0.279261609;0.030918339;0.421624665898925
ADK;0.866944486;0.010650456;1.71016225973296
ADM;-0.4878149;0.006878809;-1.05489325730857
ADM2;-0.387466543;0.046836595;-0.515103712392961
ADM5;0.137395544;0.081077064;0.14991255100374
ADNP;0.671113857;0.001026247;2.00579026461117
ADNP-AS1;0.671113857;0.001026247;2.00579026461117
ADNP2;0.244504248;0.028722957;0.376969522742152
ADO;0.423803;0.00066168;1.34741891234297
ADORA1;-0.336520268;0.192603758;-0.240724807807196
ADORA2A;-0.519556225;0.015129242;-0.945687320121649
ADORA2A-AS1;-0.263903054;0.231958183;-0.167470318703104
ADORA2B;0.378574937;0.028533814;0.584762056585683
ADORA3;0.309754659;0.155764038;0.250137047952407
ADPGK;0.377575506;0.007059671;0.812246295195625
ADPGK-AS1;0.377575506;0.007059671;0.812246295195625
ADPRH;-0.2924254;0.069907443;-0.337890701898824
ADPRHL1;-0.37868816;0.088597571;-0.398598895986607
ADPRHL2;-0.547303173;0.016805829;-0.971211405308295
ADPRM;-0.26527707;0.058485823;-0.327073202808477
ADRA1B;0.447668708;0.000423752;1.50993652019327
ADRA1D;-0.480668632;0.068081282;-0.560926966954962
ADRA2A;-0.625191326;0.00444551;-1.47049901905919
ADRA2B;0.405636566;0.01231085;0.774649001610627
ADRA2C;0.322712602;0.055469662;0.405309111254265
ADRB1;-0.645362108;0.004045463;-1.54437202537269
ADRB2;0.08629473;0.142567729;0.0730035093993073
ADRB3;-0.187578255;0.448371849;-0.0653450727370998
ADRBK1;0.346094781;0.043655029;0.470677037664917
ADRBK2;0.235874095;0.011175604;0.46036231051148
ADRM1;0.387057457;0.073922004;0.437849562604943
ADSL;0.963897255;0.001437145;2.7398773803138
ADSS;0.125243179;0.311001824;0.0635279823850088
ADSSL1;-0.50316012;0.004859138;-1.16403113381363
ADTRP;0.443657484;0.020092793;0.752868866480571
AEBP2;-0.434380843;0.014617494;-0.797144046178246
AEN;0.455650666;0.013611444;0.850287793755571
AES;0.575041797;0.003135356;1.43973970355478
AFAP1;-0.326028562;0.478476828;-0.104374487050081
AFAP1-AS1;-0.521218423;0.123003494;-0.474351792526077
AFAP1L1;0.401204491;0.284273443;0.219163453911821
AFAP1L2;-0.548525953;0.035025168;-0.798445223147474
AFDN-DT;-0.054963485;0.537205272;-0.014832431437609
AFF1;0.380036761;0.000739684;1.18987753162816
AFF1-AS1;0.153418835;0.378705297;0.0646965110480806
AFF2;0.376705048;0.030142677;0.572899885571466
AFF3;0.515566884;0.141196551;0.438322545616552
AFF4;-0.570577904;0.005630696;-1.2834795732788
AFG1L;-0.015397021;0.504289828;-0.0045778390793008
AFG3L1P;0.550667871;0.00386683;1.32856604195106
AFG3L2;-0.305363687;0.003478683;-0.750762624729384
AFMID;0.268003427;0.001444415;0.761212280455402
AFP;0.1720528;0.331204843;0.0825687101806106
AFTPH;-0.820554547;0.000423159;-2.7681378249588
AGA;0.348993563;0.025403608;0.556681236813673
AGAP1;0.375947978;0.025596176;0.598443357098705
AGAP11;0.527658926;0.011134539;1.03069082755745
AGAP2;0.382873153;0.128333556;0.341392588187411
AGAP2-AS1;0.400003432;0.0116175;0.773961568072916
AGAP3;0.175841234;0.005381047;0.399007184574922
AGAP4;-0.49107991;0.006085844;-1.08807553437416
AGAP7P;-0.500188736;0.07830608;-0.553311038744097
AGBL1-AS1;0.143796676;0.973942417;0.00164887613774719
AGBL2;-0.344902538;0.008530128;-0.713618682701494
AGBL3;0.32379171;0.009540491;0.654198249503447
AGBL4;0.222469956;0.693190777;0.0354054759805027
AGBL4-IT1;0.222469956;0.693190777;0.0354054759805027
AGBL5;-0.094225808;0.083612266;-0.101549980665315
AGBL5-AS1;-0.094225808;0.083612266;-0.101549980665315
AGER;-0.868475534;0.013070102;-1.63596562147975
AGFG1;-0.252350309;0.086373362;-0.268404879965858
AGFG2;-0.658862818;0.002710116;-1.6913088390893
AGGF1;0.268003427;0.001444415;0.761212280455402
AGK;-0.3240617;0.031620061;-0.486104636393642
AGL;-0.376147495;0.011947314;-0.723229968493954
AGMAT;0.60734643;0.01040001;1.20434746856372
AGMO;-0.250716752;0.10364251;-0.246821134632002
AGO1;0.246314203;0.026918406;0.386701145779886
AGO2;-0.51972168;0.005141064;-1.18961537489741
AGO3;-0.547303173;0.016805829;-0.971211405308295
AGO4;-0.547303173;0.016805829;-0.971211405308295
AGPAT1;0.249936742;0.018958055;0.430442611958112
AGPAT2;-0.21026117;0.200448141;-0.146761869227849
AGPAT3;0.319649991;0.002580853;0.827329847852776
AGPAT4;-0.212513877;0.045835656;-0.284512845066965
AGPAT4-IT1;-0.245271354;0.167311237;-0.190447047583264
AGPAT5;-0.288200951;0.105885874;-0.281042608370388
AGPAT6;0.472846111;0.043855994;0.642111325691975
AGPAT9;-0.613789024;0.022938022;-1.00627275418368
AGPS;-0.117528156;0.494932604;-0.0358994378200222
AGR2;0.496483475;0.039276823;0.697988069541193
AGR3;-0.587710263;0.029598819;-0.898447734451111
AGRN;-0.098451604;0.093027458;-0.10154188624556
AGRP;0.444747497;0.002087748;1.1920664667128
AGT;0.087217061;0.67891372;0.0146686375720493
AGTPBP1;-0.597810812;0.048369239;-0.786378722021557
AGTR1;-0.061732959;0.725492622;-0.00860353728602923
AGTRAP;-0.23698395;0.005107887;-0.543110033686812
AGXT;-0.113923372;0.284355568;-0.062217912539848
AHCTF1;-0.36412688;0.149614603;-0.300414148934421
AHCY;-0.792030603;0.042395694;-1.08720318295927
AHCYL1;0.322517224;0.006568086;0.703913569554097
AHCYL2;0.698826064;0.005600163;1.57361606417363
AHDC1;-0.354165962;0.0255655;-0.563954649897712
AHI1;-0.328837292;0.079093986;-0.362331519903271
AHNAK;0.23244665;0.019202173;0.399029453833241
AHNAK2;-0.50316012;0.004859138;-1.16403113381363
AHR;-0.566127462;0.009017098;-1.15769284829643
AHRR;-0.139773645;0.269437465;-0.0796069635872998
AHSA1;0.373515943;0.021548203;0.622497540164316
AHSA2;-0.304171905;0.001489181;-0.859909948550313
AHSA2P;0.032523338;0.559074443;0.00821313026051851
AHSG;-0.415223286;0.105821851;-0.405019026842811
AHSP;0.193940912;0.100833647;0.193241662842677
AICDA;0.346753504;0.015360929;0.628866092978814
AIDA;0.585394765;0.035735453;0.847008100054857
AIF1;-0.304812183;0.022876217;-0.500079681164132
AIF1L;-0.328439535;0.013220763;-0.617053634960313
AIFM1;0.232604177;0.021498646;0.387888141658007
AIFM2;-0.407062505;0.058620237;-0.501481642218387
AIFM3;-0.331047728;0.1080856;-0.319868962038092
AIG1;0.23277828;0.023614149;0.378690154045451
AIM1;0.463976579;0.031314645;0.697937932305622
AIM2;0.447668708;0.000423752;1.50993652019327
AIMP2;-0.48492807;0.072021871;-0.554047583715262
AIP;-0.560570701;0.014048603;-1.03838258925801
AIPL1;-0.592190673;0.018858624;-1.02122689266943
AIRN;-0.563504555;0.084112465;-0.605846084064849
AJAP1;-0.536095519;0.052517519;-0.686039183402658
AJM1;-0.111036542;0.658320015;-0.0201601211004888
AJUBA;0.513382071;0.047140168;0.681057211168328
AK1;0.573646585;0.020240496;0.971630452573303
AK2;-0.501019252;0.002541372;-1.30011076903617
AK3;0.405591333;0.001003674;1.21612802424039
AK4;0.408849488;0.042439491;0.561035464832713
AK5;0.45992269;0.034956545;0.669864289397153
AK6;0.258900265;0.096905546;0.262434607569204
AK7;0.222164139;0.118218335;0.206016174457441
AK8;0.419273308;0.001172627;1.22882302826797
AK9;0.297605742;0.0123734;0.567686210823633
AKAIN1;-0.398498918;0.320406692;-0.196977386271443
AKAP1;-0.658656607;0.013756031;-1.22609378845612
AKAP10;-0.294113258;0.096913628;-0.298117653577515
AKAP11;0.527133022;0.024180561;0.852128256244032
AKAP12;0.087118843;0.20986554;0.0590717039684415
AKAP13;-0.452801907;0.023769636;-0.735340094823332
AKAP17A;0.164407038;0.415978529;0.0626274225832298
AKAP2;0.632448738;0.039296327;0.889000329556353
AKAP3;0.265809979;0.174731553;0.2013852590276
