gene;log2FC;pvalue;ATAC score (pi-value)
LPAL2;0.699057196;0.028287031;1.08242899389244
LPAR1;0.616468767;0.003395007;1.52215960518377
LPAR2;0.305227448;0.025349527;0.487152206505347
LPAR3;0.381296974;0.036199213;0.5495636608409
LPAR4;0.109470551;0.406176145;0.042834248762497
LPAR5;-0.285263742;0.00820496;-0.595038352217031
LPAR6;-0.5917731;0.059418613;-0.725559677148802
LPCAT1;-0.544628107;0.021664454;-0.906398553484878
LPCAT2;-0.331852299;0.15750135;-0.266383056915114
LPCAT3;-0.285263742;0.00820496;-0.595038352217031
LPCAT4;0.276079275;0.015537194;0.499324544527268
LPGAT1;-0.567676679;0.021335;-0.948535136956836
LPHN1;0.416901436;0.116202387;0.389713188292523
LPIN1;-0.350910008;0.052939679;-0.447837912954133
LPIN2;0.424631119;0.000715708;1.335577026362
LPIN3;-0.422927853;0.003445004;-1.0415910596243
LPL;-0.363278323;0.261329636;-0.211722724934321
LPO;-0.340805329;0.041229884;-0.47194309145203
LPP;0.214091654;0.216829659;0.14213144840047
LPP-AS1;0.507052386;0.019761043;0.864113675069029
LPP-AS2;0.002786917;0.77459987;0.000309132024546243
LPPR2;0.225173812;0.032235991;0.33588253741359
LPPR3;-0.845064083;0.023762258;-1.37247896561818
LPXN;0.176662803;0.050890177;0.228489669686562
LRBA;-0.409293351;0.002137059;-1.0928883474464
LRCH1;-0.606192812;0.007534333;-1.28692017571065
LRCH3;-0.4636557;0.007891744;-0.974987729882086
LRCH4;-0.658862818;0.002710116;-1.6913088390893
LRCOL1;0.097967841;0.680737703;0.0163626079184229
LRFN1;-0.377771525;0.075514133;-0.423848982594466
LRFN2;-0.526606097;0.012624943;-0.999904161066699
LRFN3;-0.257183022;0.059002299;-0.316111641968572
LRFN4;0.346094781;0.043655029;0.470677037664917
LRFN5;0.509788771;0.004298309;1.20651829091469
LRG1;-0.872457616;0.005297828;-1.98562816026338
LRGUK;0.088513562;0.126576488;0.0794539297116784
LRIF1;0.34109266;0.00635288;0.749390584409593
LRIG1;0.433536634;0.004087252;1.03553198441291
LRIG2;0.316581939;0.025165311;0.506277108108889
LRIG3;-0.296743958;0.302175849;-0.154229778624543
LRIT2;-0.056177138;0.322960551;-0.0275745775483555
LRIT3;-0.085901681;0.546108835;-0.0225681581260875
LRMDA;-0.430068715;0.02530856;-0.686704722219876
LRMP;-0.529537993;0.018122905;-0.922334547695994
LRP1;0.437206268;0.064058227;0.521772927936952
LRP10;-0.331854011;0.003228704;-0.826638972583522
LRP11;-0.428840109;0.03197319;-0.641207748260949
LRP12;-0.228241639;0.086521036;-0.24259308273298
LRP1B;0.275280085;0.018035905;0.480050496354531
LRP2;0.466573175;0.006044089;1.03517150923683
LRP3;0.146860979;0.148112996;0.12180749950573
LRP4;-0.660316896;0.010513923;-1.30626213204812
LRP4-AS1;-0.344902538;0.008530128;-0.713618682701494
LRP5;0.574957458;0.060245472;0.701491559070766
LRP5L;0.235874095;0.011175604;0.46036231051148
LRP6;-0.339641273;0.005287445;-0.773279673440937
LRP8;-0.499640227;0.027984973;-0.775978799392197
LRPAP1;-0.213526422;0.015359779;-0.387254728879236
LRPPRC;0.420305607;0.019255214;0.721013947167227
LRR1;0.935351925;0.001819697;2.5628651358719
LRRC1;-0.417063255;0.094279969;-0.427731970349852
LRRC10;-0.284612031;0.51427218;-0.0821979378946427
LRRC10B;-0.688655176;0.021689014;-1.14575706709504
LRRC14;-0.337762863;0.097435092;-0.341574381952378
